scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,t_detection,training_time_s,method
6,True,4000,0.03,large,moderado,8000.0,3,True,5398.2763671875,1.3982763671875,0.025499999523162842,15.00000158945719,,215.00494694709778,pinn
6,True,4000,0.03,large,dificil,25000.0,2,True,5398.24462890625,1.39824462890625,0.025499999523162842,15.00000158945719,,200.04730129241943,pinn
6,True,4000,0.03,large,dificil,25000.0,3,True,5397.830078125,1.397830078125,0.025499999523162842,15.00000158945719,,209.99600672721863,pinn
6,True,4000,0.03,large,muy_dificil,50000.0,2,True,5397.8681640625,1.3978681640625,0.025499999523162842,15.00000158945719,,197.5314314365387,pinn
6,True,4000,0.03,large,muy_dificil,50000.0,3,True,5397.224609375,1.397224609375,0.025499999523162842,15.00000158945719,,208.33020901679993,pinn
7,True,6000,0.005,small,trivial,500.0,2,True,5471.4716796875,0.5285283203125,0.025499999523162842,409.99999046325684,,198.07166600227356,pinn
7,True,6000,0.005,small,trivial,500.0,3,True,5466.4296875,0.5335703125,0.025499999523162842,409.99999046325684,,208.68020677566528,pinn
7,True,6000,0.005,small,facil,2000.0,2,True,5471.4423828125,0.5285576171875,0.025499999523162842,409.99999046325684,,192.52446126937866,pinn
7,True,6000,0.005,small,facil,2000.0,3,True,5466.41162109375,0.53358837890625,0.025499999523162842,409.99999046325684,,203.0855429172516,pinn
7,True,6000,0.005,small,moderado,8000.0,2,True,5471.3564453125,0.5286435546875,0.025499999523162842,409.99999046325684,,191.0681185722351,pinn
7,True,6000,0.005,small,moderado,8000.0,3,True,5466.32763671875,0.53367236328125,0.025499999523162842,409.99999046325684,,208.6487307548523,pinn
7,True,6000,0.005,small,dificil,25000.0,2,True,5471.1357421875,0.5288642578125,0.025499999523162842,409.99999046325684,,187.6408565044403,pinn
7,True,6000,0.005,small,dificil,25000.0,3,True,5466.0400390625,0.5339599609375,0.025499999523162842,409.99999046325684,,203.6314733028412,pinn
7,True,6000,0.005,small,muy_dificil,50000.0,2,True,5470.765625,0.529234375,0.025499999523162842,409.99999046325684,,197.51210927963257,pinn
7,True,6000,0.005,small,muy_dificil,50000.0,3,True,5465.662109375,0.534337890625,0.025499999523162842,409.99999046325684,,203.8710334300995,pinn
8,True,6000,0.015,medium,trivial,500.0,2,True,5446.181640625,0.553818359375,0.025499999523162842,69.99999682108562,,193.6737470626831,pinn
8,True,6000,0.015,medium,trivial,500.0,3,True,5442.58154296875,0.55741845703125,0.025499999523162842,69.99999682108562,,209.16130900382996,pinn
8,True,6000,0.015,medium,facil,2000.0,2,True,5446.1533203125,0.5538466796875,0.025499999523162842,69.99999682108562,,192.9957160949707,pinn
8,True,6000,0.015,medium,facil,2000.0,3,True,5442.55517578125,0.55744482421875,0.025499999523162842,69.99999682108562,,206.48601269721985,pinn
