scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob,training_time_s,noise_std_db
11,True,8000.0,0.015,medium,moderado,8000.0,2.0,True,50.0,7749.999999999997,0.2500000000000027,0.0149268174659972,0.4878835600185631,mass_balance_npw,,,,24.082399653118497
12,True,8000.0,0.03,large,moderado,8000.0,2.0,True,50.0,7749.999999999997,0.2500000000000027,0.0298618991005721,0.4603363314260288,mass_balance_npw,,,,24.082399653118497
0,False,,0.0,none,dificil,25000.0,2.0,True,55.66666666666666,1000.0,,3.479137206890566e-05,,mass_balance_npw,,,,33.979400086720375
1,True,2000.0,0.005,small,dificil,25000.0,2.0,True,51.08333333333333,1850.0,0.15,0.0049910780273829,0.1784394523412363,mass_balance_npw,,,,33.979400086720375
2,True,2000.0,0.015,medium,dificil,25000.0,2.0,True,50.08333333333333,1749.9999999999973,0.2500000000000027,0.0149325219879843,0.4498534134375967,mass_balance_npw,,,,33.979400086720375
3,True,2000.0,0.03,large,dificil,25000.0,2.0,True,50.0,1900.0000000000011,0.0999999999999986,0.0298490198390687,0.5032672031040839,mass_balance_npw,,,,33.979400086720375
4,True,4000.0,0.005,small,dificil,25000.0,2.0,True,52.66666666666666,3899.999999999999,0.1000000000000013,0.0049806808917623,0.3863821647524107,mass_balance_npw,,,,33.979400086720375
5,True,4000.0,0.015,medium,dificil,25000.0,2.0,True,51.91666666666666,3699.999999999997,0.3000000000000027,0.0148886834483443,0.7421103443708393,mass_balance_npw,,,,33.979400086720375
6,True,4000.0,0.03,large,dificil,25000.0,2.0,True,51.83333333333333,3849.999999999997,0.1500000000000027,0.0297610249219475,0.7965835935082438,mass_balance_npw,,,,33.979400086720375
7,True,6000.0,0.005,small,dificil,25000.0,2.0,True,52.66666666666666,5249.999999999998,0.7500000000000018,0.0049548940285807,0.902119428384477,mass_balance_npw,,,,33.979400086720375
8,True,6000.0,0.015,medium,dificil,25000.0,2.0,True,51.91666666666666,5949.999999999997,0.0500000000000027,0.014836932152761,1.0871189815929323,mass_balance_npw,,,,33.979400086720375
9,True,6000.0,0.03,large,dificil,25000.0,2.0,True,51.83333333333333,5999.999999999998,1.8189894035458565e-15,0.0296716317524071,1.0945608253096553,mass_balance_npw,,,,33.979400086720375
10,True,8000.0,0.005,small,dificil,25000.0,2.0,True,51.08333333333333,6899.999999999998,1.100000000000002,0.0049691126668262,0.6177466634755581,mass_balance_npw,,,,33.979400086720375
11,True,8000.0,0.015,medium,dificil,25000.0,2.0,True,50.08333333333333,7449.999999999997,0.5500000000000027,0.0149354722133562,0.4301852442916212,mass_balance_npw,,,,33.979400086720375
12,True,8000.0,0.03,large,dificil,25000.0,2.0,True,50.0,7700.0,0.3,0.029876152639443,0.4128245351898291,mass_balance_npw,,,,33.979400086720375
0,False,,0.0,none,muy_dificil,50000.0,2.0,True,55.66666666666666,1000.0,,6.958274413781144e-05,,mass_balance_npw,,,,40.0
1,True,2000.0,0.005,small,muy_dificil,50000.0,2.0,True,51.91666666666666,1000.0,1.0,0.0050165189444888,0.3303788897769839,mass_balance_npw,,,,40.0
2,True,2000.0,0.015,medium,muy_dificil,50000.0,2.0,True,50.5,1750.0000000000014,0.2499999999999986,0.0149520684833135,0.319543444576587,mass_balance_npw,,,,40.0
3,True,2000.0,0.03,large,muy_dificil,50000.0,2.0,True,50.08333333333333,1749.9999999999973,0.2500000000000027,0.0298692986187877,0.4356712707074527,mass_balance_npw,,,,40.0
4,True,4000.0,0.005,small,muy_dificil,50000.0,2.0,True,53.08333333333333,3050.0,0.95,0.0050078031429635,0.1560628592712533,mass_balance_npw,,,,40.0
5,True,4000.0,0.015,medium,muy_dificil,50000.0,2.0,True,52.25,3850.000000000002,0.1499999999999986,0.0149172585386671,0.5516097422191348,mass_balance_npw,,,,40.0
6,True,4000.0,0.03,large,muy_dificil,50000.0,2.0,True,51.91666666666666,3699.999999999997,0.3000000000000027,0.0297875828070524,0.7080573098252353,mass_balance_npw,,,,40.0
7,True,6000.0,0.005,small,muy_dificil,50000.0,2.0,True,53.08333333333333,5199.999999999997,0.8000000000000027,0.0049805367134941,0.3892657301161548,mass_balance_npw,,,,40.0
8,True,6000.0,0.015,medium,muy_dificil,50000.0,2.0,True,52.25,5600.0,0.4,0.0148529141309839,0.9805724601069308,mass_balance_npw,,,,40.0
9,True,6000.0,0.03,large,muy_dificil,50000.0,2.0,True,51.91666666666666,5949.999999999997,0.0500000000000027,0.0296908422649164,1.0305257836119155,mass_balance_npw,,,,40.0
10,True,8000.0,0.005,small,muy_dificil,50000.0,2.0,True,54.91666666666666,4400.0,3.6,0.0049532998099095,0.9340038018084904,mass_balance_npw,,,,40.0
11,True,8000.0,0.015,medium,muy_dificil,50000.0,2.0,True,50.5,7299.999999999997,0.7000000000000027,0.0149285769436483,0.4761537090110466,mass_balance_npw,,,,40.0
