scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method
2,True,2000.0,0.015,medium,muy_dificil,50000,3,False,,,,0.015083416974192798,,pressure_gradient
3,True,2000.0,0.03,large,muy_dificil,50000,3,False,,,,0.030099789852836067,,pressure_gradient
4,True,4000.0,0.005,small,muy_dificil,50000,3,False,,,,0.005077577967979197,,pressure_gradient
5,True,4000.0,0.015,medium,muy_dificil,50000,3,False,,,,0.015101552943342866,,pressure_gradient
6,True,4000.0,0.03,large,muy_dificil,50000,3,True,120.0,3420.0558326932764,0.5799441673067236,0.030132188512614566,0.4406283753818907,pressure_gradient
7,True,6000.0,0.005,small,muy_dificil,50000,3,False,,,,0.005072734547885038,,pressure_gradient
8,True,6000.0,0.015,medium,muy_dificil,50000,3,False,,,,0.015086376304490556,,pressure_gradient
9,True,6000.0,0.03,large,muy_dificil,50000,3,False,,,,0.030100303563002917,,pressure_gradient
10,True,8000.0,0.005,small,muy_dificil,50000,3,False,,,,0.005069132436384183,,pressure_gradient
11,True,8000.0,0.015,medium,muy_dificil,50000,3,False,,,,0.015075656740953791,,pressure_gradient
12,True,8000.0,0.03,large,muy_dificil,50000,3,False,,,,0.03007924786560051,,pressure_gradient
