scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method
3,True,2000.0,0.03,large,muy_dificil,50000,3,True,50.08333333333333,1000.0,1.0,0.029869298618787763,0.43567127070745276,mass_balance_npw
4,True,4000.0,0.005,small,muy_dificil,50000,3,True,53.08333333333333,5000.0,1.0,0.005007803142963563,0.15606285927125332,mass_balance_npw
5,True,4000.0,0.015,medium,muy_dificil,50000,3,True,52.25,1000.0,3.0,0.01491725853866713,0.5516097422191348,mass_balance_npw
6,True,4000.0,0.03,large,muy_dificil,50000,3,True,51.916666666666664,1849.9999999999973,2.1500000000000026,0.02978758280705243,0.7080573098252353,mass_balance_npw
7,True,6000.0,0.005,small,muy_dificil,50000,3,True,53.08333333333333,1000.0,5.0,0.0049805367134941915,0.38926573011617216,mass_balance_npw
8,True,6000.0,0.015,medium,muy_dificil,50000,3,True,52.25,9000.0,3.0,0.01485291413098396,0.9805724601069308,mass_balance_npw
9,True,6000.0,0.03,large,muy_dificil,50000,3,True,51.916666666666664,8050.0,2.05,0.029690842264916424,1.0305257836119157,mass_balance_npw
10,True,8000.0,0.005,small,muy_dificil,50000,3,True,54.916666666666664,5000.0,3.0,0.004953299809909576,0.9340038018084904,mass_balance_npw
11,True,8000.0,0.015,medium,muy_dificil,50000,3,True,50.5,9349.999999999998,1.349999999999998,0.014928576943648342,0.47615370901104664,mass_balance_npw
12,True,8000.0,0.03,large,muy_dificil,50000,3,True,50.08333333333333,9649.999999999998,1.6499999999999981,0.029886183180929612,0.3793893969012904,mass_balance_npw
