scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob
6,True,4000.000059604645,0.015000000223517418,large,facil,2000,3,True,,4229.518473148346,0.22951841354370117,0.01985266953706741,32.35112827493058,lstm,1.0008811950683594,0.8987185955047607
7,True,6000.000238418579,0.015000000223517418,small,facil,2000,3,True,,6566.218137741089,0.5662178993225098,0.015104554966092108,0.6970316067780246,lstm,1.0044574737548828,0.9137725830078125
8,True,8000.00011920929,0.015000000223517418,medium,facil,2000,3,True,,8425.847887992859,0.42584776878356934,0.01683947592973709,12.26317119206232,lstm,0.99945068359375,0.939689040184021
9,True,2000.0000298023224,0.030000000447034835,large,facil,2000,3,True,,1849.8815596103668,0.15011847019195557,0.02256329208612442,24.789027500316095,lstm,0.9992122650146484,0.9101040363311768
10,True,4000.000059604645,0.030000000447034835,small,facil,2000,3,True,,3687.0738863945007,0.31292617321014404,0.026401302963495254,11.995658099716037,lstm,1.0786056518554688,0.9195753335952759
11,True,6000.000238418579,0.030000000447034835,medium,facil,2000,3,True,,5769.381523132324,0.23061871528625488,0.022846455127000807,23.84515071145966,lstm,0.9996891021728516,0.9383383393287659
12,True,8000.00011920929,0.030000000447034835,large,facil,2000,3,True,,8697.569966316223,0.6975698471069336,0.02041954770684242,31.93484199144182,lstm,0.0,0.9629051089286804
0,False,,0.0,none,moderado,8000,3,True,,8067.26336479187,,0.0060466831550002095,,lstm,0.9989738464355469,0.8146972060203552
1,True,2000.0000298023224,0.00500000026077032,small,moderado,8000,3,True,,3295.677602291107,1.2956775724887848,0.009729611501097678,94.59221987317846,lstm,0.9999275207519531,0.8261127471923828
2,True,4000.000059604645,0.00500000026077032,medium,moderado,8000,3,True,,5835.014581680298,1.835014522075653,0.00894012227654457,78.80243620561768,lstm,0.9999275207519531,0.8293017148971558
3,True,6000.000238418579,0.00500000026077032,large,moderado,8000,3,True,,7790.003418922424,1.7900031805038452,0.008018245361745358,60.36489887122595,lstm,0.9992122650146484,0.8499866127967834
4,True,8000.00011920929,0.00500000026077032,small,moderado,8000,3,True,,8798.404932022095,0.7984048128128052,0.007078797742724418,41.57594747072733,lstm,0.9989738464355469,0.8728057146072388
5,True,2000.0000298023224,0.015000000223517418,medium,moderado,8000,3,True,,2290.3749346733093,0.29037490487098694,0.017460466548800468,16.40310859079497,lstm,0.9996891021728516,0.8888734579086304
6,True,4000.000059604645,0.015000000223517418,large,moderado,8000,3,True,,4789.790511131287,0.7897904515266418,0.018152759224176408,21.018393024528137,lstm,1.0001659393310547,0.9003888964653015
7,True,6000.000238418579,0.015000000223517418,small,moderado,8000,3,True,,6922.637224197388,0.9226369857788086,0.016409655287861823,9.397700288926059,lstm,0.9996891021728516,0.920257568359375
8,True,8000.00011920929,0.015000000223517418,medium,moderado,8000,3,True,,8750.144839286804,0.7501447200775146,0.014414092898368834,3.9060487761192273,lstm,1.3284683227539062,0.9439480900764465
9,True,2000.0000298023224,0.030000000447034835,large,moderado,8000,3,True,,1888.771504163742,0.11122852563858032,0.022951380908489225,23.495398111709985,lstm,2.0155906677246094,0.9121519327163696
10,True,4000.000059604645,0.030000000447034835,small,moderado,8000,3,True,,3760.3625655174255,0.23963749408721924,0.02655852511525154,11.471584268337724,lstm,0.9992122650146484,0.9202258586883545
11,True,6000.000238418579,0.030000000447034835,medium,moderado,8000,3,True,,6074.94056224823,0.07494032382965088,0.02175379693508148,27.487344630251165,lstm,0.9953975677490234,0.9393552541732788
